ticker,predicted_return,weight
ON,0.007864123,0.025
SMCI,0.0043991343,0.025
ORCL,0.003893934,0.025
CHTR,0.0035348102,0.025
COHR,0.0031303996,0.025
INTC,0.0030804265,0.025
AKAM,0.0027555393,0.025
TECH,0.002381326,0.025
CIEN,0.0023067053,0.025
QCOM,0.002153003,0.025
GNRC,0.0020559435,0.025
GLW,0.0020236655,0.025
AXON,0.0019524075,0.025
SWKS,0.001946709,0.025
DD,0.0017798839,0.025
ACN,0.0017445987,0.025
BSX,0.0017304214,0.025
INTU,0.0017142983,0.025
WDC,0.0016815545,0.025
IT,0.0016690302,0.025
HON,0.0016496873,0.025
MPWR,0.0016326299,0.025
NXPI,0.001609692,0.025
TER,0.0015368427,0.025
CTSH,0.0015108372,0.025
VTRS,0.001471951,0.025
GM,0.0014411652,0.025
NEM,0.0014333075,0.025
FSLR,0.0014285261,0.025
AMD,0.0014241205,0.025
RTX,0.0014140492,0.025
MCHP,0.0013987335,0.025
HPQ,0.0013959195,0.025
LEN,0.0013921391,0.025
NKE,0.0013921391,0.025
LULU,0.0013901738,0.025
TSCO,0.0013901738,0.025
PSKY,0.0013876929,0.025
TXN,0.0013822899,0.025
AVGO,0.0013813542,0.025
