ticker,predicted_return,weight
ON,0.007925906,0.025
SMCI,0.004328721,0.025
ORCL,0.003874519,0.025
CHTR,0.003616572,0.025
INTC,0.003276347,0.025
COHR,0.0031511032,0.025
AMD,0.0024186866,0.025
CIEN,0.0024161185,0.025
TECH,0.0023969784,0.025
GLW,0.0022879655,0.025
QCOM,0.002280998,0.025
IBM,0.0022487782,0.025
AKAM,0.0022354983,0.025
GNRC,0.0020211167,0.025
SWKS,0.0019870757,0.025
AXON,0.0019849339,0.025
INTU,0.0018622717,0.025
PODD,0.0016845819,0.025
BSX,0.0016760802,0.025
NXPI,0.0016758473,0.025
WDC,0.0016630035,0.025
TER,0.0016610532,0.025
TXN,0.0016598569,0.025
DD,0.0016498531,0.025
HON,0.0016496873,0.025
PSKY,0.0016484786,0.025
IT,0.001637429,0.025
BLDR,0.0015442064,0.025
TTWO,0.0014719076,0.025
TSCO,0.0014692779,0.025
MPWR,0.0014626819,0.025
CTSH,0.0014423424,0.025
FSLR,0.0014297854,0.025
TSLA,0.0014297854,0.025
GM,0.0014293109,0.025
MCHP,0.0014180025,0.025
NEM,0.00141272,0.025
RTX,0.0013948118,0.025
LEN,0.0013921391,0.025
PNR,0.0013921391,0.025
