ticker,predicted_return,weight
ON,0.00804204,0.025
SMCI,0.0033717358,0.025
CHTR,0.003273913,0.025
COHR,0.0031991967,0.025
ORCL,0.003158333,0.025
INTC,0.0031142004,0.025
AKAM,0.0027555393,0.025
TECH,0.002332122,0.025
CTSH,0.0023306012,0.025
GLW,0.0022443763,0.025
CIEN,0.0022203047,0.025
QCOM,0.0021997541,0.025
GNRC,0.0019475631,0.025
AXON,0.0019101741,0.025
SWKS,0.0019013125,0.025
DD,0.0018419618,0.025
STX,0.0018378805,0.025
INTU,0.0017744502,0.025
LRCX,0.0017668549,0.025
BSX,0.0017629152,0.025
MPWR,0.0017523738,0.025
AMAT,0.0016964683,0.025
AMD,0.0016742634,0.025
NXPI,0.0016737281,0.025
FSLR,0.0015954839,0.025
WDC,0.0015789444,0.025
NEM,0.0015668401,0.025
ACN,0.0015465315,0.025
IT,0.0015199498,0.025
VTRS,0.001471951,0.025
PODD,0.0014629422,0.025
RTX,0.0014549171,0.025
MCHP,0.0014536589,0.025
LDOS,0.0014386696,0.025
GM,0.0014271425,0.025
AVGO,0.00142252,0.025
FDX,0.001404888,0.025
HPQ,0.0013959195,0.025
ADSK,0.0013921391,0.025
EFX,0.0013921391,0.025
