ticker,predicted_return,weight
ON,0.0077470457,0.025
CHTR,0.003568635,0.025
SMCI,0.0033215429,0.025
COHR,0.003101613,0.025
IT,0.0030425526,0.025
INTC,0.003016617,0.025
CIEN,0.0027678818,0.025
AKAM,0.0026957353,0.025
SATS,0.002561933,0.025
AMD,0.0023713722,0.025
GLW,0.0021467926,0.025
QCOM,0.0020824652,0.025
AXON,0.002079127,0.025
SWKS,0.0019811832,0.025
TECH,0.0019724835,0.025
INTU,0.001883328,0.025
ORCL,0.0018154944,0.025
NXPI,0.0016418251,0.025
BSX,0.001626811,0.025
MPWR,0.0016055893,0.025
TER,0.0015773127,0.025
ACN,0.0015465315,0.025
WDC,0.0015329089,0.025
PODD,0.0015141962,0.025
STX,0.0014833789,0.025
VTRS,0.001471951,0.025
TYL,0.0014647163,0.025
LRCX,0.0014639639,0.025
TSCO,0.0014632045,0.025
HPQ,0.0014550951,0.025
GM,0.0014271425,0.025
IBM,0.00142252,0.025
FSLR,0.0014128097,0.025
FDX,0.001404888,0.025
FIS,0.0014017016,0.025
FICO,0.0013971727,0.025
EFX,0.0013921391,0.025
LEN,0.0013921391,0.025
NKE,0.0013921391,0.025
PSKY,0.0013906797,0.025
