ticker,predicted_return,weight
ON,0.007864123,0.025
SMCI,0.004347272,0.025
ORCL,0.0034532268,0.025
CHTR,0.0031924008,0.025
COHR,0.0031740053,0.025
INTC,0.0031521367,0.025
AKAM,0.0027430512,0.025
TECH,0.0023857174,0.025
GLW,0.0023683005,0.025
CIEN,0.0023435361,0.025
AMD,0.002334319,0.025
QCOM,0.0022147864,0.025
GNRC,0.0019751622,0.025
SWKS,0.0019429241,0.025
AXON,0.001911242,0.025
INTU,0.0018622717,0.025
IT,0.0017757185,0.025
ACN,0.0017472632,0.025
WDC,0.0017433382,0.025
TER,0.0017413879,0.025
BSX,0.0016760802,0.025
DD,0.0016498531,0.025
HON,0.0016496873,0.025
NXPI,0.001609692,0.025
MPWR,0.0015848923,0.025
PSKY,0.0015397602,0.025
PODD,0.0014807637,0.025
VTRS,0.001471951,0.025
CTSH,0.0014692779,0.025
TSCO,0.0014423424,0.025
GM,0.0014411652,0.025
NEM,0.0014333075,0.025
FSLR,0.0014108941,0.025
APTV,0.0014052815,0.025
HPQ,0.0013959195,0.025
BLDR,0.0013921391,0.025
LEN,0.0013921391,0.025
NKE,0.0013921391,0.025
ETN,0.0013823119,0.025
TXN,0.0013822899,0.025
