ticker,predicted_return,weight
ON,0.007864123,0.025
ORCL,0.003893934,0.025
CHTR,0.003616572,0.025
INTC,0.0032314884,0.025
SMCI,0.0032079408,0.025
COHR,0.003101613,0.025
IT,0.0030634976,0.025
INTU,0.0029509387,0.025
AKAM,0.0027555393,0.025
CTSH,0.0023985994,0.025
TECH,0.002332122,0.025
GLW,0.0021467926,0.025
CIEN,0.0021420752,0.025
QCOM,0.001986665,0.025
AXON,0.0019490946,0.025
SWKS,0.0019013125,0.025
GNRC,0.0018801498,0.025
DD,0.0017798839,0.025
NXPI,0.0016612401,0.025
HON,0.0016496873,0.025
MPWR,0.0016250043,0.025
TER,0.001612579,0.025
ACN,0.0015465315,0.025
WDC,0.0015329089,0.025
LRCX,0.0014833789,0.025
VTRS,0.001471951,0.025
PODD,0.0014629422,0.025
RTX,0.0014549171,0.025
AMD,0.001449913,0.025
AMAT,0.0014482541,0.025
GM,0.0014411652,0.025
AVGO,0.00142252,0.025
HPQ,0.0014139293,0.025
FSLR,0.0014108941,0.025
FDX,0.001404888,0.025
PSKY,0.001403656,0.025
NEM,0.0014011416,0.025
MCHP,0.0013987335,0.025
EFX,0.0013921391,0.025
FICO,0.0013921391,0.025
